index,J,F1,F,ef,mF,parity,purity,E_MHz
8,1,1,0.5,e,-0.5,-1,0.4999,14555.806027
9,1,1,0.5,e,+0.5,-1,0.4999,14556.266959
10,1,1,0.5,f,-0.5,+1,0.4999,14561.099799
11,1,1,0.5,f,+0.5,+1,0.4999,14561.553060
0,1,1,1.5,e,-1.5,-1,0.5000,14540.671076
1,1,1,1.5,e,-0.5,-1,0.4999,14540.879463
2,1,1,1.5,e,+0.5,-1,0.4999,14541.089986
3,1,1,1.5,e,+1.5,-1,0.5000,14541.302541
4,1,1,1.5,f,-1.5,+1,0.5000,14545.966827
5,1,1,1.5,f,-0.5,+1,0.4999,14546.171443
6,1,1,1.5,f,+0.5,+1,0.4999,14546.378129
7,1,1,1.5,f,+1.5,+1,0.5000,14546.586785
18,2,2,1.5,e,-1.5,+1,0.5000,43642.683737
19,2,2,1.5,e,-0.5,+1,0.5000,43642.840054
20,2,2,1.5,e,+0.5,+1,0.5000,43642.996111
21,2,2,1.5,e,+1.5,+1,0.5000,43643.151912
28,2,2,1.5,f,-1.5,-1,0.5000,43658.564056
29,2,2,1.5,f,-0.5,-1,0.5000,43658.713451
30,2,2,1.5,f,+0.5,-1,0.5000,43658.862603
31,2,2,1.5,f,+1.5,-1,0.5000,43659.011518
12,2,2,2.5,e,-2.5,+1,0.5000,43634.360835
13,2,2,2.5,e,-1.5,+1,0.5000,43634.451043
14,2,2,2.5,e,-0.5,+1,0.5000,43634.541516
15,2,2,2.5,e,+0.5,+1,0.5000,43634.632249
16,2,2,2.5,e,+1.5,+1,0.5000,43634.723235
17,2,2,2.5,e,+2.5,+1,0.5000,43634.814468
22,2,2,2.5,f,-2.5,-1,0.5000,43650.242341
23,2,2,2.5,f,-1.5,-1,0.5000,43650.327981
24,2,2,2.5,f,-0.5,-1,0.5000,43650.413869
25,2,2,2.5,f,+0.5,-1,0.5000,43650.499998
26,2,2,2.5,f,+1.5,-1,0.5000,43650.586362
27,2,2,2.5,f,+2.5,-1,0.5000,43650.672957
40,3,3,2.5,e,-2.5,-1,0.5000,87278.655917
41,3,3,2.5,e,-1.5,-1,0.5000,87278.742183
42,3,3,2.5,e,-0.5,-1,0.5000,87278.828360
43,3,3,2.5,e,+0.5,-1,0.5000,87278.914451
44,3,3,2.5,e,+1.5,-1,0.5000,87279.000456
45,3,3,2.5,e,+2.5,-1,0.5000,87279.086377
54,3,3,2.5,f,-2.5,+1,0.5000,87310.412329
55,3,3,2.5,f,-1.5,+1,0.5000,87310.492001
56,3,3,2.5,f,-0.5,+1,0.5000,87310.571594
57,3,3,2.5,f,+0.5,+1,0.5000,87310.651108
58,3,3,2.5,f,+1.5,+1,0.5000,87310.730546
59,3,3,2.5,f,+2.5,+1,0.5000,87310.809908
32,3,3,3.5,e,-3.5,-1,0.5000,87272.883716
33,3,3,3.5,e,-2.5,-1,0.5000,87272.938024
34,3,3,3.5,e,-1.5,-1,0.5000,87272.992421
35,3,3,3.5,e,-0.5,-1,0.5000,87273.046906
36,3,3,3.5,e,+0.5,-1,0.5000,87273.101477
37,3,3,3.5,e,+1.5,-1,0.5000,87273.156133
38,3,3,3.5,e,+2.5,-1,0.5000,87273.210873
39,3,3,3.5,e,+3.5,-1,0.5000,87273.265695
46,3,3,3.5,f,-3.5,+1,0.5000,87304.640977
47,3,3,3.5,f,-2.5,+1,0.5000,87304.690379
48,3,3,3.5,f,-1.5,+1,0.5000,87304.739861
