index,J,F1,F,ef,mF,parity,purity,E_MHz
8,1,1,0.5,e,-0.5,-1,0.5000,14556.011384
9,1,1,0.5,e,+0.5,-1,0.5000,14556.057481
10,1,1,0.5,f,-0.5,+1,0.5000,14561.301767
11,1,1,0.5,f,+0.5,+1,0.5000,14561.347097
0,1,1,1.5,e,-1.5,-1,0.5000,14540.955237
1,1,1,1.5,e,-0.5,-1,0.5000,14540.976265
2,1,1,1.5,e,+0.5,-1,0.5000,14540.997314
3,1,1,1.5,e,+1.5,-1,0.5000,14541.018384
4,1,1,1.5,f,-1.5,+1,0.5000,14546.245811
5,1,1,1.5,f,-0.5,+1,0.5000,14546.266456
6,1,1,1.5,f,+0.5,+1,0.5000,14546.287121
7,1,1,1.5,f,+1.5,+1,0.5000,14546.307806
18,2,2,1.5,e,-1.5,+1,0.5000,43642.893907
19,2,2,1.5,e,-0.5,+1,0.5000,43642.909516
20,2,2,1.5,e,+0.5,+1,0.5000,43642.925122
21,2,2,1.5,e,+1.5,+1,0.5000,43642.940726
28,2,2,1.5,f,-1.5,-1,0.5000,43658.764941
29,2,2,1.5,f,-0.5,-1,0.5000,43658.779859
30,2,2,1.5,f,+0.5,-1,0.5000,43658.794775
31,2,2,1.5,f,+1.5,-1,0.5000,43658.809688
12,2,2,2.5,e,-2.5,+1,0.5000,43634.564971
13,2,2,2.5,e,-1.5,+1,0.5000,43634.574038
14,2,2,2.5,e,-0.5,+1,0.5000,43634.583108
15,2,2,2.5,e,+0.5,+1,0.5000,43634.592181
16,2,2,2.5,e,+1.5,+1,0.5000,43634.601256
17,2,2,2.5,e,+2.5,+1,0.5000,43634.610334
22,2,2,2.5,f,-2.5,-1,0.5000,43650.436119
23,2,2,2.5,f,-1.5,-1,0.5000,43650.444727
24,2,2,2.5,f,-0.5,-1,0.5000,43650.453337
25,2,2,2.5,f,+0.5,-1,0.5000,43650.461949
26,2,2,2.5,f,+1.5,-1,0.5000,43650.470564
27,2,2,2.5,f,+2.5,-1,0.5000,43650.479181
40,3,3,2.5,e,-2.5,-1,0.5000,87278.849369
41,3,3,2.5,e,-1.5,-1,0.5000,87278.857980
42,3,3,2.5,e,-0.5,-1,0.5000,87278.866590
43,3,3,2.5,e,+0.5,-1,0.5000,87278.875200
44,3,3,2.5,e,+1.5,-1,0.5000,87278.883808
45,3,3,2.5,e,+2.5,-1,0.5000,87278.892416
